 &plot nbnd=  20, nks=   961 /
  -51.363  -23.293  -23.284  -23.284    3.288    4.880    4.880    6.372   18.558   18.558
   19.023   19.023   20.103   21.118   21.449   21.712   21.712   23.493   23.493   27.572
            0.382495  0.382495  0.382495
  -51.363  -23.294  -23.284  -23.284    3.245    4.902    4.902    6.392   18.528   18.528
   18.985   18.985   20.056   21.142   21.444   21.723   21.723   23.579   23.579   27.604
            0.380690  0.380690  0.380690
  -51.363  -23.294  -23.284  -23.284    3.203    4.924    4.924    6.413   18.497   18.497
   18.948   18.948   20.008   21.159   21.445   21.735   21.735   23.665   23.665   27.636
            0.378886  0.378886  0.378886
  -51.363  -23.294  -23.284  -23.284    3.161    4.947    4.947    6.434   18.466   18.466
   18.911   18.911   19.961   21.169   21.453   21.747   21.747   23.751   23.751   27.670
            0.377082  0.377082  0.377082
  -51.363  -23.294  -23.283  -23.283    3.119    4.970    4.970    6.455   18.434   18.434
   18.874   18.874   19.915   21.170   21.469   21.760   21.760   23.838   23.838   27.704
            0.375278  0.375278  0.375278
  -51.363  -23.294  -23.283  -23.283    3.077    4.993    4.993    6.477   18.402   18.402
   18.837   18.837   19.868   21.164   21.491   21.773   21.773   23.926   23.926   27.740
            0.373473  0.373473  0.373473
  -51.363  -23.295  -23.283  -23.283    3.035    5.016    5.016    6.499   18.370   18.370
   18.801   18.801   19.822   21.153   21.518   21.787   21.787   24.014   24.014   27.776
            0.371669  0.371669  0.371669
  -51.363  -23.295  -23.283  -23.283    2.993    5.040    5.040    6.522   18.337   18.337
   18.765   18.765   19.776   21.137   21.549   21.801   21.801   24.102   24.102   27.814
            0.369865  0.369865  0.369865
  -51.363  -23.295  -23.283  -23.283    2.952    5.063    5.063    6.544   18.304   18.304
   18.729   18.729   19.730   21.118   21.582   21.816   21.816   24.191   24.191   27.852
            0.368061  0.368061  0.368061
  -51.363  -23.295  -23.283  -23.283    2.910    5.087    5.087    6.567   18.270   18.270
   18.694   18.694   19.684   21.097   21.617   21.831   21.831   24.280   24.280   27.891
            0.366257  0.366257  0.366257
  -51.363  -23.295  -23.283  -23.283    2.868    5.111    5.111    6.591   18.236   18.236
   18.659   18.659   19.639   21.074   21.654   21.846   21.846   24.370   24.370   27.931
            0.364452  0.364452  0.364452
  -51.363  -23.295  -23.283  -23.283    2.827    5.136    5.136    6.614   18.202   18.202
   18.624   18.624   19.594   21.050   21.691   21.862   21.862   24.460   24.460   27.972
            0.362648  0.362648  0.362648
  -51.363  -23.296  -23.282  -23.282    2.785    5.160    5.160    6.638   18.168   18.168
   18.589   18.589   19.549   21.025   21.729   21.878   21.878   24.550   24.550   28.014
            0.360844  0.360844  0.360844
  -51.363  -23.296  -23.282  -23.282    2.744    5.185    5.185    6.663   18.133   18.133
   18.555   18.555   19.504   20.999   21.767   21.895   21.895   24.641   24.641   28.056
            0.359040  0.359040  0.359040
  -51.363  -23.296  -23.282  -23.282    2.703    5.210    5.210    6.687   18.098   18.098
   18.521   18.521   19.460   20.972   21.806   21.912   21.912   24.732   24.732   28.099
            0.357235  0.357235  0.357235
  -51.363  -23.296  -23.282  -23.282    2.662    5.235    5.235    6.712   18.063   18.063
   18.488   18.488   19.415   20.944   21.845   21.929   21.929   24.824   24.824   28.144
            0.355431  0.355431  0.355431
  -51.363  -23.296  -23.282  -23.282    2.621    5.260    5.260    6.737   18.028   18.028
   18.454   18.454   19.371   20.916   21.884   21.947   21.947   24.915   24.915   28.189
            0.353627  0.353627  0.353627
  -51.363  -23.296  -23.282  -23.282    2.580    5.286    5.286    6.762   17.992   17.992
   18.421   18.421   19.327   20.887   21.923   21.965   21.965   25.007   25.007   28.234
            0.351823  0.351823  0.351823
  -51.363  -23.296  -23.282  -23.282    2.539    5.312    5.312    6.788   17.957   17.957
   18.388   18.388   19.284   20.858   21.962   21.984   21.984   25.100   25.100   28.281
            0.350019  0.350019  0.350019
  -51.363  -23.297  -23.282  -23.282    2.498    5.338    5.338    6.814   17.921   17.921
   18.356   18.356   19.240   20.828   22.001   22.002   22.002   25.192   25.192   28.328
            0.348214  0.348214  0.348214
  -51.363  -23.297  -23.282  -23.282    2.458    5.364    5.364    6.840   17.885   17.885
   18.323   18.323   19.197   20.798   22.021   22.021   22.040   25.285   25.285   28.376
            0.346410  0.346410  0.346410
  -51.363  -23.297  -23.281  -23.281    2.417    5.390    5.390    6.866   17.849   17.849
   18.291   18.291   19.154   20.767   22.041   22.041   22.080   25.378   25.378   28.424
            0.344606  0.344606  0.344606
  -51.363  -23.297  -23.281  -23.281    2.377    5.417    5.417    6.893   17.813   17.813
   18.260   18.260   19.112   20.736   22.061   22.061   22.119   25.472   25.472   28.473
            0.342802  0.342802  0.342802
  -51.363  -23.297  -23.281  -23.281    2.337    5.444    5.444    6.920   17.776   17.776
   18.228   18.228   19.069   20.705   22.081   22.081   22.158   25.565   25.565   28.523
            0.340998  0.340998  0.340998
  -51.363  -23.297  -23.281  -23.281    2.297    5.471    5.471    6.947   17.740   17.740
   18.197   18.197   19.027   20.674   22.101   22.101   22.197   25.659   25.659   28.574
            0.339193  0.339193  0.339193
  -51.363  -23.297  -23.281  -23.281    2.257    5.498    5.498    6.974   17.704   17.704
   18.166   18.166   18.985   20.642   22.122   22.122   22.236   25.753   25.753   28.625
            0.337389  0.337389  0.337389
  -51.363  -23.297  -23.281  -23.281    2.218    5.526    5.526    7.002   17.667   17.667
   18.135   18.135   18.943   20.610   22.143   22.143   22.276   25.847   25.847   28.677
            0.335585  0.335585  0.335585
  -51.363  -23.297  -23.281  -23.281    2.178    5.553    5.553    7.030   17.631   17.631
   18.104   18.104   18.901   20.578   22.164   22.164   22.315   25.941   25.941   28.729
            0.333781  0.333781  0.333781
  -51.363  -23.298  -23.281  -23.281    2.139    5.581    5.581    7.058   17.595   17.595
   18.074   18.074   18.860   20.545   22.185   22.185   22.354   26.036   26.036   28.782
            0.331976  0.331976  0.331976
  -51.363  -23.298  -23.280  -23.280    2.100    5.609    5.609    7.086   17.558   17.558
   18.044   18.044   18.819   20.513   22.207   22.207   22.392   26.131   26.131   28.835
            0.330172  0.330172  0.330172
  -51.363  -23.298  -23.280  -23.280    2.061    5.638    5.638    7.115   17.522   17.522
   18.014   18.014   18.778   20.480   22.229   22.229   22.431   26.225   26.225   28.889
            0.328368  0.328368  0.328368
  -51.363  -23.298  -23.280  -23.280    2.022    5.666    5.666    7.144   17.486   17.486
