    #         X           Y           Z        CHARGE     ATOM    DISTANCE
  -------------------------------------------------------------------------
   92      3.7206      3.9531      4.3019      0.3506       2      0.6261
   93      3.4880      3.1392      3.7206      0.2756       2      0.6261
   94      3.4880      3.7206      3.1392      0.2756       2      0.6261
   95      3.4880      3.7206      4.3019      0.2756       2      0.6261
   96      3.4880      4.3019      3.7206      0.2756       2      0.6261
   97      3.7206      3.0230      3.7206      0.4754       2      0.6976
   98      3.7206      3.7206      3.0230      0.4645       2      0.6976
   99      3.7206      3.7206      4.4182      0.4645       2      0.6976
  100      3.7206      4.4182      3.7206      0.4536       2      0.6976
  101      3.6043      0.0000      3.4880      1.0128       4      0.2600
  102      3.6043      0.0000      3.9531      1.0128       4      0.2600
  103      3.6043      3.4880      0.0000      1.0128       3      0.2600
  104      3.6043      3.9531      0.0000      1.0130       3      0.2600
  105      3.7206      3.4880      3.1392      0.2444       2      0.6261
  106      3.7206      3.4880      4.3019      0.2444       2      0.6261
  107      3.7206      4.3019      3.4880      0.2444       2      0.6261
  108      3.7206      4.3019      3.9531      0.2444       2      0.6261
  109      6.5110      7.2086      7.3249      0.1102       1      0.9658
  110      3.8368      0.0000      3.4880      0.7109       4      0.2600
  111      3.9531      0.0000      3.6043      1.0126       4      0.2600
  112      3.8368      0.0000      3.9531      0.7111       4      0.2600
  113      3.8368      3.4880      0.0000      0.7109       3      0.2600
  114      3.9531      3.1392      3.7206      0.3124       2      0.6261
  115      3.9531      3.6043      0.0000      1.0138       3      0.2600
  116      3.9531      3.7206      3.1392      0.3124       2      0.6261
  117      4.4182      3.7206      3.7206      0.4497       2      0.6976
  118      3.8368      3.9531      0.0000      0.7109       3      0.2600
  119      6.5110      7.3249      0.2325      0.0662       1      0.9658
  120      3.9531      0.0000      3.8368      0.2343       4      0.2600
  121      6.5110      7.3249      7.2086      0.0662       1      0.9658
  122      6.5110      0.2325      7.3249      0.0662       1      0.9658
  123      6.5110      0.1163      0.2325      0.0582       1      0.9658
  124      6.5110      0.1163      7.2086      0.0588       1      0.9658
  125      4.3019      3.4880      3.7206      0.2756       2      0.6261
  126      4.3019      3.7206      3.4880      0.2444       2      0.6261
  127      4.3019      3.7206      3.9531      0.2444       2      0.6261
  128      3.9531      3.8368      0.0000      0.2332       3      0.2600
  129      4.3019      3.9531      3.7206      0.2133       2      0.6261
  130      6.5110      7.2086      0.1163      0.0588       1      0.9658
  131      6.5110      0.2325      0.1163      0.0261       1      0.9658
  132      6.7435      0.0000      0.6976      0.2040       1      0.9866
  133      6.7435      0.0000      6.7435      0.2040       1      0.9865
  134      6.7435      0.6976      0.0000      0.2040       1      0.9866
  135      6.7435      6.7435      0.0000      0.2040       1      0.9865
  136      6.7435      0.3488      0.5813      0.1030       1      0.9728
  137      6.7435      0.3488      6.8598      0.1025       1      0.9728
  138      6.7435      0.5813      0.3488      0.0436       1      0.9728
  139      6.7435      0.5813      7.0923      0.0436       1      0.9728
  140      6.7435      6.8598      0.3488      0.1025       1      0.9728
  141      6.7435      7.0923      0.5813      0.0436       1      0.9728
  142      6.7435      7.0923      6.8598      0.0436       1      0.9727
  143      6.8598      0.3488      0.6976      0.0675       1      0.9728
  144      6.8598      0.3488      6.7435      0.0674       1      0.9728
  145      7.0923      0.5813      0.6976      0.0436       1      0.9728
  146      7.0923      0.5813      6.7435      0.0436       1      0.9728
  147      6.8598      0.6976      0.3488      0.0672       1      0.9728
  148      6.8598      0.6976      7.0923      0.0672       1      0.9728
  149      6.8598      6.7435      0.3488      0.0674       1      0.9728
  150      6.8598      6.7435      7.0923      0.0672       1      0.9727
  151      7.0923      6.7435      0.5813      0.0436       1      0.9728
  152      7.0923      6.7435      6.8598      0.0436       1      0.9727
  153      6.8598      7.0923      0.6976      0.0672       1      0.9728
  154      6.8598      7.0923      6.7435      0.0677       1      0.9727
  155      7.0923      0.6976      0.5813      0.0358       1      0.9728
  156      7.0923      0.6976      6.8598      0.0358       1      0.9728
  157      7.0923      6.8598      0.6976      0.0358       1      0.9728
  158      7.0923      6.8598      6.7435      0.0358       1      0.9727
  159      7.2086      0.1163      0.9301      0.0581       1      0.9658
  160      7.2086      0.1163      6.5110      0.0582       1      0.9658
  161      7.2086      0.9301      0.1163      0.0584       1      0.9658
  162      7.2086      6.5110      0.1163      0.0582       1      0.9658
  -------------------------------------------------------------------------
